id_concessionaria,Id_Veicolo,modello,brand,nazionalita,citta,n_id_veicolo,Data_Consegna
1,19UUA66257A381280,"Grand Prix",Pontiac,BF,Koupla,NULL,NULL
1,1B3CB7HB0AD097606,1000,Pontiac,BF,Koupla,NULL,NULL
1,1FMJK1F56BE701003,Starion,Mitsubishi,BF,Koupla,1FMJK1F56BE701003,2022-06-28
1,1FMJK1F56BE701003,Starion,Mitsubishi,BF,Koupla,1FMJK1F56BE701003,2022-11-30
1,1FMJK1F56BE701003,Starion,Mitsubishi,BF,Koupla,1FMJK1F56BE701003,2023-05-05
1,1FMJK1F56BE701003,Starion,Mitsubishi,BF,Koupla,1FMJK1F56BE701003,2024-08-20
1,1FT7W2A68EE175714,Prowler,Plymouth,BF,Koupla,NULL,NULL
1,1FTWW3B57AE202242,Freestar,Ford,BF,Koupla,NULL,NULL
1,1G6KD57Y14U991765,"Sierra 3500",GMC,BF,Koupla,NULL,NULL
1,1GYUKKEF4AR354339,HHR,Chevrolet,BF,Koupla,NULL,NULL
1,2G4WC582081194447,Corrado,Volkswagen,BF,Koupla,2G4WC582081194447,2022-06-16
1,2G4WC582081194447,Corrado,Volkswagen,BF,Koupla,2G4WC582081194447,2022-10-31
1,2G4WC582081194447,Corrado,Volkswagen,BF,Koupla,2G4WC582081194447,2023-04-23
1,2G4WC582081194447,Corrado,Volkswagen,BF,Koupla,2G4WC582081194447,2024-09-05
1,3D4PG7FG4BT654208,Eclipse,Mitsubishi,BF,Koupla,NULL,NULL
1,3VW467ATXCM439657,Trooper,Isuzu,BF,Koupla,3VW467ATXCM439657,2022-07-26
1,3VW467ATXCM439657,Trooper,Isuzu,BF,Koupla,3VW467ATXCM439657,2022-11-15
1,3VW467ATXCM439657,Trooper,Isuzu,BF,Koupla,3VW467ATXCM439657,2023-07-21
1,3VW467ATXCM439657,Trooper,Isuzu,BF,Koupla,3VW467ATXCM439657,2024-08-17
1,5N1AR1NB3BC494782,Quest,Nissan,BF,Koupla,5N1AR1NB3BC494782,2022-06-06
1,5N1AR1NB3BC494782,Quest,Nissan,BF,Koupla,5N1AR1NB3BC494782,2022-12-30
1,5N1AR1NB3BC494782,Quest,Nissan,BF,Koupla,5N1AR1NB3BC494782,2023-05-17
1,5N1AR1NB3BC494782,Quest,Nissan,BF,Koupla,5N1AR1NB3BC494782,2024-12-07
1,JTJBM7FX5A5317462,"Suburban 1500",Chevrolet,BF,Koupla,JTJBM7FX5A5317462,2022-07-11
1,JTJBM7FX5A5317462,"Suburban 1500",Chevrolet,BF,Koupla,JTJBM7FX5A5317462,2022-11-07
1,JTJBM7FX5A5317462,"Suburban 1500",Chevrolet,BF,Koupla,JTJBM7FX5A5317462,2023-05-09
